Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeName,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked
43,No,Travel_Frequently,Research & Development,14,3,Medical,Charles Boyle,73,Female,5,Research Director,Divorced,38860,1.0
27,No,Non-Travel,Research & Development,2,3,Life Sciences,Felicia Baker,74,Male,1,Research Director,Married,168230,0.0
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,Judith Becker,75,Male,2,Research Scientist,Single,29330,3.0
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,Oscar Malone,76,Female,2,Manager,Married,65000,8.0
45,No,Travel_Rarely,Sales,3,1,Marketing,Jay Turner,77,Female,1,Sales Executive,Married,171740,9.0
40,No,Travel_Rarely,Research & Development,2,4,Other,Angel Thompson,78,Male,4,Research Scientist,Married,50330,2.0
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,Veronica Sanford,79,Female,1,Research Scientist,Married,23070,1.0
29,No,Travel_Rarely,Human Resources,8,3,Medical,John Acosta,80,Male,3,Sales Representative,Single,25870,0.0
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Melissa Smith,81,Male,2,Research Scientist,Divorced,55070,1.0
27,No,Travel_Rarely,Research & Development,11,2,Medical,John Reed,82,Male,1,Manager,Married,43930,1.0
37,No,Travel_Rarely,Sales,1,4,Life Sciences,Donna Nichols,83,Male,2,Healthcare Representative,Divorced,133480,7.0
38,No,Travel_Rarely,Research & Development,28,4,Medical,Marie Brown,84,Male,1,Laboratory Technician,Divorced,65830,0.0
31,No,Travel_Rarely,Research & Development,6,3,Medical,Kelsey Hooper,85,Female,3,Manager,Single,81030,1.0
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Janet Cantrell,86,Male,3,Sales Executive,Divorced,39780,1.0
35,No,Travel_Rarely,Sales,16,2,Technical Degree,Peter Mcdonald,87,Male,3,Manager,Single,25440,0.0
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,Joseph Herring,88,Male,1,Manufacturing Director,Divorced,53990,1.0
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,Kathleen Mcguire,89,Female,1,Laboratory Technician,Single,54870,6.0
47,No,Travel_Frequently,Sales,1,3,Medical,Jeffery Stephens,90,Female,2,Laboratory Technician,Single,68340,3.0
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Justin Richardson,91,Male,1,Manager,Single,10910,2.0
29,No,Non-Travel,Sales,22,4,Marketing,Christopher Choi,92,Male,2,Human Resources,Married,57360,1.0
42,No,Travel_Rarely,Sales,7,4,Medical,Ashley Patel,93,Male,3,Research Scientist,Divorced,22260,0.0
32,No,Travel_Rarely,Research & Development,2,3,Medical,Michelle Gray,94,Male,2,Research Scientist,Married,57470,1.0
48,No,Travel_Rarely,Sales,13,4,Medical,Kyle Murphy,95,Male,4,Sales Executive,Married,98540,3.0
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,Philip Brooks,96,Male,2,Manufacturing Director,Divorced,54670,4.0
30,No,Non-Travel,Sales,25,4,Other,James Johnson,97,Male,1,Healthcare Representative,Married,53800,7.0
26,No,Travel_Rarely,Sales,28,3,Medical,Angela Johnson,98,Female,5,Laboratory Technician,Married,51510,1.0
42,No,Travel_Rarely,Sales,2,2,Medical,Christine Norman,99,Female,1,Laboratory Technician,Single,21330,3.0
21,Yes,Travel_Frequently,Research & Development,9,3,Medical,Lindsey Fernandez,100,Female,4,Manufacturing Director,Single,178750,1.0
36,No,Non-Travel,Human Resources,28,3,Human Resources,Travis Johnson,101,Male,2,Laboratory Technician,Single,24320,4.0
36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,Joel Ayala,102,Female,2,Research Scientist,Married,47710,4.0
57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,Valerie Vasquez,103,Male,5,Research Scientist,Married,191610,2.0
40,No,Travel_Rarely,Research & Development,8,3,Other,Wendy Stone,104,Male,2,Sales Executive,Married,50870,3.0
21,No,Non-Travel,Research & Development,1,5,Life Sciences,David Salazar,105,Female,2,Manager,Single,28630,1.0
33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,William Webb,106,Female,5,Manager,Single,55610,1.0
37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,Wendy Nguyen,107,Male,4,Research Scientist,Married,21440,6.0
46,No,Non-Travel,Sales,2,4,Marketing,Daniel Travis,108,Female,2,Laboratory Technician,Married,30650,2.0
41,Yes,Travel_Frequently,Research & Development,16,1,Medical,Adam Gilbert,109,Female,1,Research Scientist,Single,28100,1.0
50,No,Travel_Rarely,Research & Development,9,3,Medical,Paul Lewis,110,Female,3,Laboratory Technician,Single,98880,6.0
40,Yes,Travel_Rarely,Research & Development,8,3,Medical,Jessica Hunter,111,Female,1,Healthcare Representative,Married,86280,2.0
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Jose Wilson,112,Male,4,Human Resources,Single,28670,0.0
21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,Rebecca Tucker,113,Male,1,Laboratory Technician,Single,53730,1.0
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Julian Ray,114,Female,2,Research Director,Single,66670,9.0
35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,David Williams,115,Female,3,Sales Executive,Single,50030,9.0
27,No,Travel_Rarely,Sales,2,3,Life Sciences,Dennis Bell,116,Male,1,Sales Executive,Divorced,23670,
28,No,Travel_Rarely,Research & Development,2,2,Medical,Kimberly Williams,117,Male,3,Manager,Single,28580,1.0
49,No,Travel_Rarely,Sales,2,3,Technical Degree,Gerald Johnson,118,Male,2,Manufacturing Director,Single,52040,8.0
51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,Richard Johns,119,Male,1,Sales Executive,Married,41050,4.0
36,No,Travel_Rarely,Sales,15,2,Life Sciences,Michael Gomez,120,Male,1,Sales Executive,Married,96790,4.0
34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,Allen Smith,121,Male,1,Sales Representative,Single,56170,8.0
55,No,Travel_Rarely,Sales,26,3,Marketing,Trevor Bryant,122,Male,1,Laboratory Technician,Single,104480,2.0
24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Terry Payne,123,Female,5,Manager,Divorced,28970,1.0
30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,Dr. Amy Payne,124,Female,2,Manager,Married,59680,1.0
26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,Barbara Pratt,125,Male,2,Manager,Single,75100,0.0
22,No,Travel_Rarely,Research & Development,16,5,Other,Jessica Lee,126,Male,1,Research Scientist,Married,29910,1.0
36,No,Travel_Rarely,Research & Development,1,3,Medical,Greg Medina,127,Female,5,Healthcare Representative,Married,196360,1.0
30,Yes,Travel_Frequently,Sales,3,2,Marketing,Lindsay Williams,128,Male,3,Research Scientist,Single,11290,9.0
37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,Ashley Wood,129,Male,1,Sales Executive,Divorced,133410,1.0
40,No,Travel_Rarely,Research & Development,6,2,Medical,Kevin Hood,130,Male,3,Research Scientist,Divorced,43320,7.0
42,No,Travel_Rarely,Research & Development,2,3,Medical,John Washington,131,Female,4,Manager,Divorced,110310,3.0
37,No,Travel_Rarely,Sales,9,1,Marketing,Christopher Rojas,132,Male,3,Sales Executive,Single,44400,2.0
43,No,Travel_Rarely,Sales,10,2,Life Sciences,Melanie Barton,133,Female,1,Sales Executive,Divorced,46170,1.0
40,No,Travel_Rarely,Sales,6,2,Life Sciences,Kristi Miller,134,Female,1,Laboratory Technician,Married,26470,6.0
54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,Stephen Harrison,135,Female,2,Manufacturing Director,Married,63230,4.0
34,No,Non-Travel,Research & Development,28,3,Medical,Jeffrey Wheeler,136,Male,1,Laboratory Technician,Married,56770,9.0
31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,Morgan Walker DDS,137,Male,3,Sales Executive,Married,21870,1.0
43,No,Travel_Frequently,Sales,14,3,Life Sciences,Leah Hale,138,Female,1,Manufacturing Director,Married,37480,7.0
43,No,Travel_Rarely,Sales,27,4,Life Sciences,Andre Davis,139,Male,2,Sales Representative,Divorced,39770,4.0
25,No,Travel_Rarely,Human Resources,7,2,Human Resources,Lisa Rodriguez,140,Male,1,Manufacturing Director,Single,86330,1.0
37,No,Non-Travel,Research & Development,1,3,Medical,Thomas Chavez,141,Male,3,Laboratory Technician,Married,20080,3.0
31,No,Travel_Rarely,Research & Development,24,1,Medical,Chelsey Williams,142,Male,3,Laboratory Technician,Married,44400,1.0
39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,Amy Sullivan,143,Female,1,Sales Executive,Divorced,30670,1.0
56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,Kim Brown,144,Female,3,Sales Executive,Married,53210,9.0
30,No,Travel_Rarely,Sales,5,4,Medical,Jamie Maddox,145,Female,2,Manufacturing Director,Single,54100,0.0
41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,David Peterson,146,Female,3,Research Scientist,Married,27820,1.0
28,No,Travel_Rarely,Research & Development,7,3,Medical,Lisa Yates,147,Male,3,Healthcare Representative,Divorced,119570,1.0
25,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,Michael Hall,148,Female,3,Laboratory Technician,Married,26600,5.0
52,No,Travel_Rarely,Research & Development,26,2,Life Sciences,Dean Smith,149,Female,2,Sales Representative,Married,33750,2.0
45,No,Travel_Rarely,Research & Development,2,3,Medical,Amy Best,150,Female,1,Sales Executive,Married,50980,3.0
52,No,Travel_Rarely,Research & Development,12,3,Medical,Matthew Hoffman MD,151,Male,2,Research Scientist,Married,48780,2.0
42,No,Travel_Frequently,Sales,10,3,Marketing,Adrian Ball,152,Female,2,Healthcare Representative,Divorced,28370,2.0
30,No,Travel_Rarely,Sales,25,3,Marketing,Robin Watson,153,Male,1,Sales Executive,Single,24060,2.0
60,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Crystal Miller,154,Female,1,Manufacturing Director,Married,22690,5.0
46,No,Travel_Rarely,Sales,19,4,Marketing,Jay Romero,155,Female,1,Sales Executive,Divorced,41080,2.0
42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,Kimberly Middleton,156,Male,4,Sales Executive,Married,132060,0.0
24,Yes,Travel_Rarely,Research & Development,27,2,Medical,Gregory Lara,157,Male,1,Research Scientist,Single,104220,1.0
34,Yes,Travel_Frequently,Research & Development,5,3,Medical,Brandon Rice,158,Male,2,Research Scientist,Divorced,137440,0.0
38,No,Travel_Frequently,Sales,3,3,Marketing,Jim Perez,159,Female,2,Sales Executive,Married,49070,1.0
40,No,Travel_Rarely,Sales,26,4,Marketing,Melissa Conley,160,Female,1,Sales Executive,Married,34820,0.0
26,No,Travel_Rarely,Research & Development,3,2,Medical,Jason Miller,161,Female,4,Healthcare Representative,Divorced,24360,1.0
30,No,Non-Travel,Research & Development,15,3,Medical,Shannon Curtis,162,Female,2,Sales Executive,Married,23800,4.0
29,No,Travel_Rarely,Research & Development,8,3,Medical,John Mendoza,163,Female,3,Manufacturing Director,Married,194310,1.0
29,Yes,Travel_Rarely,Research & Development,19,4,Life Sciences,William Fox,164,Male,3,Research Scientist,Married,17900,5.0
19,Yes,Travel_Rarely,Research & Development,4,3,Medical,Tracy Mclaughlin,165,Male,1,Sales Executive,Single,76440,1.0
30,No,Non-Travel,Research & Development,2,4,Life Sciences,Daniel Mcbride,166,Female,3,Research Scientist,Married,51310,0.0
57,No,Travel_Rarely,Research & Development,2,2,Life Sciences,Alexis Martinez,167,Male,4,Research Scientist,Divorced,63060,3.0
50,No,Travel_Rarely,Sales,10,4,Life Sciences,Jeffrey Zamora,168,Female,3,Manager,Married,47870,0.0
30,No,Non-Travel,Sales,10,2,Life Sciences,Cheryl Rojas,169,Male,3,Laboratory Technician,Single,188800,0.0
60,No,Travel_Frequently,Research & Development,16,3,Life Sciences,Christopher Cordova,170,Female,4,Laboratory Technician,Married,23390,4.0
47,No,Travel_Rarely,Research & Development,1,3,Technical Degree,Patricia Johnson DDS,171,Male,5,Manufacturing Director,Divorced,135700,5.0
46,No,Travel_Rarely,Sales,4,1,Technical Degree,Sherry Myers,172,Male,1,Laboratory Technician,Married,67120,6.0
35,No,Travel_Rarely,Research & Development,15,2,Medical,Dylan Curtis,173,Female,2,Laboratory Technician,Single,54060,0.0
54,No,Travel_Rarely,Research & Development,2,4,Medical,Peggy Miller,174,Male,2,Human Resources,Single,89380,7.0
34,No,Travel_Rarely,Sales,8,2,Life Sciences,David Kline,175,Male,1,Laboratory Technician,Divorced,24390,3.0
46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Tiffany Jordan,176,Male,1,Healthcare Representative,Married,88370,2.0
31,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Ms. Natalie Ramirez,177,Male,2,Research Director,Divorced,53430,1.0
33,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,Tina Griffin,178,Female,4,Research Director,Married,67280,7.0
33,Yes,Travel_Rarely,Sales,5,4,Marketing,Lisa Cobb,179,Male,2,Research Director,Divorced,66520,7.0
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Melissa Myers,180,Male,1,Sales Executive,Single,48500,0.0
35,No,Travel_Rarely,Research & Development,12,2,Medical,Leon Lucas,181,Female,2,Sales Representative,Married,28090,4.0
31,Yes,Travel_Frequently,Research & Development,22,2,Medical,Jeffery Rogers,182,Female,2,Sales Executive,Married,56890,3.0
34,Yes,Travel_Frequently,Sales,17,1,Marketing,Rebecca Davis,183,Male,1,Research Director,Divorced,20010,9.0
42,No,Travel_Frequently,Research & Development,2,4,Medical,Danielle Ford,184,Female,1,Research Scientist,Married,29770,4.0
36,No,Non-Travel,Research & Development,3,4,Medical,Alexander Cox,185,Male,1,Research Scientist,Single,40250,1.0
22,Yes,Travel_Frequently,Research & Development,7,3,Medical,Jessica Burke,186,Female,2,Laboratory Technician,Single,37850,5.0
48,No,Travel_Rarely,Research & Development,6,3,Medical,David Rogers,187,Male,1,Laboratory Technician,Married,108540,2.0
55,No,Travel_Rarely,Research & Development,1,3,Medical,Peter Carpenter,188,Female,1,Sales Executive,Single,120310,3.0
41,No,Non-Travel,Research & Development,3,2,Life Sciences,Sherry Martin,189,Female,2,Research Scientist,Single,99360,7.0
35,No,Travel_Rarely,Research & Development,22,3,Medical,Linda Reese,190,Female,1,Sales Representative,Married,29660,9.0
40,No,Travel_Rarely,Research & Development,15,3,Life Sciences,Evelyn Gordon,191,Female,2,Laboratory Technician,Single,25710,7.0
39,No,Travel_Frequently,Research & Development,12,1,Medical,Misty Hebert,192,Male,1,Research Scientist,Married,99910,1.0
31,No,Travel_Rarely,Research & Development,1,4,Life Sciences,Austin Davidson,193,Male,3,Research Director,Single,61420,4.0
42,No,Travel_Rarely,Research & Development,5,3,Medical,Jason Parker,194,Male,3,Sales Executive,Married,53900,1.0
45,No,Travel_Rarely,Research & Development,2,1,Medical,Shaun Curtis,195,Female,4,Sales Executive,Married,44040,0.0
26,Yes,Travel_Frequently,Research & Development,2,1,Life Sciences,Rodney Miller,196,Female,2,Laboratory Technician,Divorced,59930,0.0
29,No,Travel_Rarely,Research & Development,5,3,Medical,Adam Hicks,197,Male,1,Research Scientist,Divorced,51300,4.0
33,No,Travel_Rarely,Research & Development,16,3,Medical,George Schneider,198,Female,1,Laboratory Technician,Divorced,20900,4.0
31,No,Travel_Rarely,Research & Development,2,4,Life Sciences,Christopher Smith,199,Female,1,Sales Executive,Divorced,29090,9.0
18,Yes,Travel_Frequently,Research & Development,2,3,Technical Degree,William Johnson,200,Male,1,Sales Executive,Single,34680,1.0
40,No,Non-Travel,Research & Development,1,4,Technical Degree,Maria Hernandez,201,Female,2,Laboratory Technician,Divorced,30680,3.0
41,No,Non-Travel,Research & Development,23,3,Life Sciences,Dillon Ford MD,202,Male,2,Manufacturing Director,Single,26700,2.0
26,No,Travel_Rarely,Research & Development,9,4,Medical,Jason Osborn Jr.,203,Male,3,Healthcare Representative,Divorced,26930,5.0
35,No,Travel_Rarely,Research & Development,16,4,Medical,Mitchell Downs,204,Male,2,Human Resources,Single,95260,1.0
34,No,Travel_Rarely,Research & Development,26,3,Medical,Jamie Wright,205,Male,1,Laboratory Technician,Single,52370,1.0
26,Yes,Travel_Rarely,Sales,1,3,Marketing,Danny Sullivan,206,Female,2,Manufacturing Director,Single,24260,1.0
37,No,Travel_Rarely,Research & Development,8,1,Life Sciences,Sharon Ware,207,Male,1,Sales Executive,Single,41930,4.0
46,No,Travel_Frequently,Research & Development,4,1,Medical,David Berry,208,Male,5,Human Resources,Married,29110,5.0
41,No,Travel_Rarely,Research & Development,24,1,Life Sciences,Stephanie Jenkins,209,Male,1,Research Director,Married,26610,7.0
37,No,Non-Travel,Research & Development,7,2,Medical,Jeremy Stafford,210,Male,1,Sales Executive,Divorced,20280,1.0
52,No,Travel_Rarely,Sales,2,1,Medical,Anthony Copeland,211,Male,1,Laboratory Technician,Divorced,99800,
32,Yes,Non-Travel,Research & Development,7,2,Life Sciences,Jasmine Hubbard,212,Female,2,Research Director,Married,32980,8.0
24,No,Travel_Frequently,Sales,22,3,Life Sciences,Nicole Wilson,213,Female,1,Healthcare Representative,Married,29350,0.0
38,No,Travel_Rarely,Research & Development,5,3,Life Sciences,Jennifer Shelton,214,Female,1,Research Scientist,Married,154270,3.0
37,No,Travel_Rarely,Research & Development,1,4,Technical Degree,Jennifer Winters,215,Female,5,Research Scientist,Married,39440,6.0
49,No,Travel_Rarely,Sales,21,1,Life Sciences,Adam Morgan,216,Male,1,Sales Executive,Divorced,40110,1.0
24,No,Travel_Rarely,Sales,1,3,Marketing,Taylor Bowen,217,Female,1,Sales Executive,Married,34070,1.0
26,No,Travel_Rarely,Research & Development,19,4,Technical Degree,Thomas Howard,218,Female,4,Sales Executive,Married,119940,1.0
24,No,Travel_Rarely,Sales,7,3,Medical,Nicole Martin,219,Female,1,Laboratory Technician,Married,12320,1.0
50,No,Travel_Frequently,Sales,2,2,Marketing,Michelle Harrell,220,Male,1,Sales Executive,Married,29600,1.0
25,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Tonya Ware,221,Male,1,Research Scientist,Married,190940,1.0
24,Yes,Travel_Frequently,Research & Development,2,3,Medical,Tammy Carter,222,Male,2,Research Scientist,Married,39190,1.0
30,Yes,Travel_Frequently,Research & Development,9,3,Other,Melissa Black,223,Male,2,Healthcare Representative,Married,68250,1.0
34,No,Travel_Rarely,Sales,6,2,Life Sciences,Sierra Moreno,224,Male,4,Research Director,Married,102480,1.0
31,Yes,Travel_Rarely,Research & Development,9,1,Medical,Peggy Ross,225,Female,1,Sales Representative,Divorced,189470,2.0
